epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1598,3.48037,9.18069,1.84533,0,0,0,0,1.64878,6.14255,0.92665,4.287e-05,4.287e-05,4.287e-05
2,32.7784,3.62212,9.81045,1.77528,0,0,0,0,2.02205,6.11899,0.88052,9.80494e-05,9.80494e-05,9.80494e-05
3,49.1265,3.17442,8.86375,1.45857,0,0,0,0,2.2549,6.35994,0.91982,0.000150965,0.000150965,0.000150965
4,64.096,2.68156,6.79215,1.37791,0,0,0,0,2.22289,6.42361,0.93741,0.000201618,0.000201618,0.000201618
5,78.6079,2.75221,6.47351,1.36693,0.00251,0.5,0.00249,0.0005,1.99512,6.14164,0.9091,0.000250006,0.000250006,0.000250006
6,98.8112,2.48705,6.09201,1.26259,0.00254,0.5,0.00195,0.00058,1.9451,6.04582,0.90082,0.000296132,0.000296132,0.000296132
7,116.065,2.48351,5.02051,1.21123,0.0037,0.75,0.00373,0.00146,1.88163,5.93275,0.86572,0.000339993,0.000339993,0.000339993
8,132.518,2.43703,5.11224,1.1805,0.00254,0.5,0.00212,0.00117,1.86106,5.85916,0.85846,0.000381592,0.000381592,0.000381592
9,152.009,2.43398,5.29612,1.28724,0.00261,0.5,0.00223,0.00123,1.9578,5.74238,0.85997,0.000420926,0.000420926,0.000420926
10,182.808,2.30061,5.16691,1.12619,0.00276,0.5,0.00237,0.00117,1.9805,5.74006,0.87422,0.000457997,0.000457997,0.000457997
11,197.759,2.41137,5.22262,1.15905,0.00282,0.5,0.00241,0.00119,1.86424,5.81243,0.8777,0.000492805,0.000492805,0.000492805
12,212.062,2.11728,4.36687,1.23735,0.00412,0.75,0.00404,0.00154,1.78408,5.68605,0.87921,0.000525349,0.000525349,0.000525349
13,226.024,2.00467,4.6311,1.18597,0.00266,0.5,0.00224,0.0009,1.73472,5.5654,0.87798,0.000555629,0.000555629,0.000555629
14,239.695,2.03368,4.46681,1.20197,0.00269,0.5,0.00234,0.00131,1.81948,5.27728,0.891,0.000583646,0.000583646,0.000583646
15,252.199,1.97637,4.14426,1.13585,0.00257,0.5,0.0022,0.00108,1.83276,5.35637,0.8896,0.0006094,0.0006094,0.0006094
16,264.496,2.02277,3.84375,1.08304,0.00257,0.5,0.0022,0.00108,1.83276,5.35637,0.8896,0.00063289,0.00063289,0.00063289
17,277.921,1.96313,4.06719,1.19226,0.00257,0.5,0.00221,0.00087,1.88846,5.26552,0.88933,0.000654116,0.000654116,0.000654116
18,291.721,2.11849,4.38454,1.08419,0.00366,0.75,0.00408,0.00133,2.09208,5.19161,0.92325,0.000673079,0.000673079,0.000673079
19,303.908,2.02691,3.8432,1.07287,0.00366,0.75,0.00408,0.00133,2.09208,5.19161,0.92325,0.000689778,0.000689778,0.000689778
20,316.48,1.8977,4.2652,1.05369,0.00364,0.75,0.00395,0.00171,2.1308,5.31968,0.92357,0.000704214,0.000704214,0.000704214
21,329.95,1.87732,3.64408,1.06634,0.00357,0.75,0.00573,0.00238,2.12563,5.24641,0.94288,0.000716386,0.000716386,0.000716386
22,342.301,2.0501,3.86866,1.10068,0.00357,0.75,0.00573,0.00238,2.12563,5.24641,0.94288,0.000726295,0.000726295,0.000726295
23,354.762,1.9662,3.64694,1.06525,0.00354,0.75,0.00829,0.00309,2.12928,5.25604,0.94693,0.00073394,0.00073394,0.00073394
24,366.916,1.81308,3.21257,1.04646,0.00354,0.75,0.00829,0.00309,2.12928,5.25604,0.94693,0.000739322,0.000739322,0.000739322
25,379.47,1.74925,3.88563,1.06087,0.00352,0.75,0.27401,0.08787,2.07689,4.85349,0.93086,0.00074244,0.00074244,0.00074244
26,391.896,1.78787,3.08825,1.03379,0.00352,0.75,0.27401,0.08787,2.07689,4.85349,0.93086,0.000721645,0.000721645,0.000721645
27,404.375,1.8489,3.59791,1.08701,0.00354,0.75,0.30952,0.05698,2.10809,4.96913,0.93928,0.000693351,0.000693351,0.000693351
28,416.743,1.91185,3.60318,1.00173,0.00354,0.75,0.30952,0.05698,2.10809,4.96913,0.93928,0.000665057,0.000665057,0.000665057
29,429.07,1.83975,3.95815,1.01518,0.16814,0.5,0.36169,0.07601,2.02048,4.5154,0.91404,0.000636762,0.000636762,0.000636762
30,441.466,1.76209,2.94256,0.97818,0.16814,0.5,0.36169,0.07601,2.02048,4.5154,0.91404,0.000608468,0.000608468,0.000608468
31,453.535,1.85764,3.33001,0.98291,0.35642,0.25,0.38034,0.15881,1.97617,4.0649,0.90737,0.000580174,0.000580174,0.000580174
32,467.381,1.9044,3.30875,1.11405,0.35642,0.25,0.38034,0.15881,1.97617,4.0649,0.90737,0.00055188,0.00055188,0.00055188
33,479.766,1.79234,3.38828,1.05879,0.22209,0.5,0.3722,0.1492,1.94694,4.1181,0.9073,0.000523586,0.000523586,0.000523586
34,491.65,1.72076,2.90191,0.97592,0.22209,0.5,0.3722,0.1492,1.94694,4.1181,0.9073,0.000495291,0.000495291,0.000495291
35,503.856,1.53288,2.6712,0.97821,0.30694,0.5,0.27049,0.09893,1.93679,3.81304,0.89279,0.000466997,0.000466997,0.000466997
36,517.16,1.63368,3.26248,1.00142,0.30694,0.5,0.27049,0.09893,1.93679,3.81304,0.89279,0.000438703,0.000438703,0.000438703
37,530.868,1.61471,2.92267,1.04989,0.11083,0.31578,0.10374,0.05602,1.91996,4.33786,0.89828,0.000410409,0.000410409,0.000410409
38,545.61,1.75834,3.18225,0.99422,0.11083,0.31578,0.10374,0.05602,1.91996,4.33786,0.89828,0.000382115,0.000382115,0.000382115
39,557.761,1.71275,2.91841,0.9784,0.17343,0.42493,0.1411,0.06349,1.89643,4.37255,0.90138,0.00035382,0.00035382,0.00035382
