epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3046,3.20414,7.68186,2.06329,0,0,0,0,2.34262,6.37359,1.495,7.145e-05,7.145e-05,7.145e-05
2,39.4934,3.09104,7.08877,1.87215,0,0,0,0,2.25719,6.28946,1.50052,0.000154078,0.000154078,0.000154078
3,57.4816,2.64375,6.92087,1.5867,0.00059,0.125,0.00037,7e-05,2.29078,6.06566,1.48123,0.00023331,0.00023331,0.00023331
4,76.1071,2.54689,7.41809,1.3848,0.00059,0.125,0.00037,7e-05,2.33645,6.05698,1.45082,0.000309147,0.000309147,0.000309147
5,93.7588,2.70843,5.40477,1.51042,0.00057,0.1,0.00035,0.00014,2.46396,6.08023,1.46129,0.000381589,0.000381589,0.000381589
6,111.333,2.48398,4.66409,1.38854,0.00059,0.1,0.00036,0.00018,2.22322,5.42517,1.34273,0.000450635,0.000450635,0.000450635
7,130,2.41288,4.69394,1.54534,0,0,0,0,1.98136,5.28087,1.32956,0.000516286,0.000516286,0.000516286
8,147.69,2.60991,4.96752,1.38243,0,0,0,0,1.9126,5.14164,1.32948,0.000578542,0.000578542,0.000578542
9,164.485,2.55814,4.57462,1.55542,0,0,0,0,1.96585,5.14196,1.3443,0.000637403,0.000637403,0.000637403
10,182.29,2.24817,4.45971,1.4021,0,0,0,0,2.06925,5.19307,1.31398,0.000692868,0.000692868,0.000692868
11,200.068,2.50529,4.59301,1.4352,0,0,0,0,2.15904,5.42801,1.35267,0.000744938,0.000744938,0.000744938
12,217.335,2.12711,3.8511,1.44417,0.0005,0.125,0.00143,0.00048,2.05539,5.25169,1.28872,0.000793612,0.000793612,0.000793612
13,234.473,2.40463,4.15512,1.34155,0.001,0.25,0.03124,0.01549,2.08201,5.04941,1.27499,0.000838892,0.000838892,0.000838892
14,252.66,2.10745,3.67321,1.44518,0.00222,0.475,0.01829,0.00767,2.17438,4.72775,1.33687,0.000880776,0.000880776,0.000880776
15,269.978,2.52694,4.33683,1.55669,0.00222,0.475,0.01829,0.00767,2.17438,4.72775,1.33687,0.000919264,0.000919264,0.000919264
16,286.959,2.26573,4.10903,1.37398,0.00224,0.475,0.01293,0.00286,2.20816,4.76768,1.38522,0.000954358,0.000954358,0.000954358
17,304.594,2.31552,3.53684,1.25425,0.00225,0.325,0.12337,0.01613,2.084,4.82163,1.32874,0.000976293,0.000976293,0.000976293
18,322.429,2.34541,5.72893,1.28968,0.00366,0.55,0.01777,0.00729,2.22257,4.79112,1.31624,0.000947999,0.000947999,0.000947999
19,339.465,2.19379,4.24101,1.2852,0.00366,0.55,0.01777,0.00729,2.22257,4.79112,1.31624,0.000919704,0.000919704,0.000919704
20,357.569,2.15781,3.81826,1.2588,0.00373,0.55,0.0283,0.01311,2.20067,4.6183,1.29381,0.00089141,0.00089141,0.00089141
21,376.387,2.03448,4.21607,1.31234,0.03702,0.1,0.10063,0.05192,2.14562,4.27901,1.35531,0.000863116,0.000863116,0.000863116
22,393.898,1.99928,3.46608,1.29048,0.04292,0.1,0.07562,0.03218,2.18504,4.10399,1.3638,0.000834822,0.000834822,0.000834822
23,412.883,1.94138,3.65622,1.42558,0.04292,0.1,0.07562,0.03218,2.18504,4.10399,1.3638,0.000806528,0.000806528,0.000806528
