epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.352,2.63744,12.5091,1.6304,0,0,0,0,2.34508,9.91349,1.38326,2.858e-05,2.858e-05,2.858e-05
2,73.1622,3.24637,11.9507,2.03297,0,0,0,0,2.30315,6.88543,1.39327,7.09741e-05,7.09741e-05,7.09741e-05
3,106.511,3.22445,5.90114,1.80075,0,0,0,0,2.23563,7.16104,1.33012,0.000112797,0.000112797,0.000112797
4,139.743,2.86836,6.02012,1.70576,0.58959,0.25,0.07528,0.03133,2.25195,8.49695,1.26511,0.000154049,0.000154049,0.000154049
5,172.673,2.9313,5.62615,2.48559,0.6843,0.25,0.33367,0.12857,2.4716,7.74168,1.35872,0.00019473,0.00019473,0.00019473
6,206.19,1.49586,7.25985,1.08866,0.15262,0.61751,0.19365,0.09014,2.16349,5.9766,1.22678,0.00023484,0.00023484,0.00023484
7,238.736,2.49983,3.6755,1.5321,0.15464,0.5,0.15575,0.06882,2.09629,5.38708,1.22186,0.000274379,0.000274379,0.000274379
8,272.472,2.26767,2.95716,1.5233,0.14541,0.5,0.19951,0.10962,1.94799,5.31318,1.14955,0.000313347,0.000313347,0.000313347
9,306.014,1.84834,2.90275,1.30819,0.2277,0.9787,0.26264,0.12638,1.8306,4.94706,1.09416,0.000351744,0.000351744,0.000351744
10,337.917,1.7613,2.83044,1.23792,0.19196,0.625,0.21441,0.10121,1.69549,3.90357,1.10211,0.00038957,0.00038957,0.00038957
11,369.548,1.76685,2.89166,1.23115,0.32887,0.24331,0.25505,0.1202,1.69346,3.19136,1.18958,0.000426825,0.000426825,0.000426825
12,401.269,1.93277,2.4832,1.27445,0.74516,0.25,0.31385,0.15497,1.73274,3.2032,1.23307,0.000463509,0.000463509,0.000463509
13,432.452,1.81048,2.4634,1.24798,0.21657,0.125,0.22044,0.12053,1.8527,3.24167,1.30986,0.000499622,0.000499622,0.000499622
14,465.797,1.72561,2.11322,1.16828,0.44399,0.125,0.23674,0.12817,1.91563,3.25379,1.35,0.000535164,0.000535164,0.000535164
15,497.535,1.71245,2.40838,1.29278,0.44399,0.125,0.23674,0.12817,1.91563,3.25379,1.35,0.000570134,0.000570134,0.000570134
